name,smiles,count
(S)-3-Hydroxyhexanoyl-CoA,CCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],56.0
(S)-3-Hydroxyhexadecanoyl-CoA,CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,66.0
1-octadecanoyl-sn-glycerol 3-phosphate,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,29.0
1-Pyrroline-5-carboxylate,O=C(O)[C@@H]1CCC=N1,8.0
(S)-3-Hydroxyoctanoyl-CoA,CCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],58.0
(S)-3-Hydroxyoctadecanoyl-CoA,CCCCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],68.0
1-tetradecanoyl-sn-glycerol 3-phosphate,CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,25.0
(S)-2-Aceto-2-hydroxybutanoate,CC[C@](O)(C(C)=O)C(=O)O,10.0
2-Aminomalonate semialdehyde,[NH3+][C@@H](C=O)C(=O)[O-],7.0
L-2-Amino-3-oxobutanoate,CC(=O)[C@H]([NH3+])C(=O)[O-],8.0
3-(3-hydroxy-phenyl)propionate,O=C([O-])CCc1cccc(O)c1,12.0
"2',3'-Cyclic AMP",Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2OP(=O)([O-])O[C@H]21,22.0
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,O=C(O)c1ccccc1NCC(=O)[C@H](O)[C@H](O)COP(=O)(O)O,23.0
2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,O=C(O)C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,18.0
(S)-3-Hydroxytetradecanoyl-CoA,CCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],64.0
"2',3'-Cyclic CMP",Nc1ccn([C@@H]2O[C@H](CO)[C@H]3OP(=O)([O-])O[C@H]32)c(=O)n1,20.0
C'-(3-Indolyl)-glycerol 3-phosphate,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12,19.0
2-Dehydro-3-deoxy-D-gluconate 6-phosphate,O=C([O-])C(=O)C[C@H](O)[C@H](O)COP(=O)([O-])[O-],16.0
3-Methyl-2-oxobutanoate,CC(C)C(=O)C(=O)[O-],8.0
(S)-3-Methyl-2-oxopentanoate,CC[C@H](C)C(=O)C(=O)[O-],9.0
"2',3'-Cyclic GMP",Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@H]3OP(=O)(O)O[C@H]32)c(=O)[nH]1,23.0
2-Dehydro-3-deoxy-D-gluconate,O=C(O)C(=O)C[C@H](O)[C@H](O)CO,12.0
"2',3'-Cyclic UMP",O=c1ccn([C@@H]2O[C@H](CO)[C@H]3OP(=O)(O)O[C@H]32)c(=O)[nH]1,20.0
"2,3-diaminopropionate",NC[C@H](N)C(=O)O,7.0
3-Oxodecanoyl-CoA,CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,60.0
3-Oxododecanoyl-CoA,CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],62.0
2-Dehydro-3-deoxy-D-galactonate 6-phosphate,O=C(O)C(=O)C[C@@H](O)[C@H](O)COP(=O)(O)O,16.0
2-Dehydro-3-deoxy-D-galactonate,O=C([O-])C(=O)C[C@@H](O)[C@H](O)CO,12.0
"2,3-Dihydro-2,3-dihydroxybenzoate",O=C([O-])C1=CC=CC(O)C1O,11.0
3-Oxohexanoyl-CoA,CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,56.0
"2,3-Dihydroxybenzoate",O=C(O)c1cccc(O)c1O,11.0
3-Oxohexadecanoyl-CoA,CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],66.0
2-Dehydro-D-gluconate,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)CO,13.0
"(2,3-Dihydroxybenzoyl)adenylate",Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OC(=O)c2cccc(O)c2O)[C@@H](O)[C@H]1O,33.0
"2,3-dihydroxybenzoylserine",O=C(N[C@@H](CO)C(=O)O)c1cccc(O)c1O,17.0
3-Oxooctanoyl-CoA,CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,58.0
2-Dehydropantoate,CC(C)(CO)C(=O)C(=O)[O-],10.0
"2,3-Dihydrodipicolinate",O=C(O)C1=N[C@H](C(=O)O)CC=C1,12.0
2-Demethylmenaquinone 8,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)c2ccccc2C1=O,52.0
3-Oxooctadecanoyl-CoA,CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,68.0
2-Demethylmenaquinol 8,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)c2ccccc2c1O,52.0
2-Deoxy-D-ribose 1-phosphate,O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1,13.0
"(R)-2,3-Dihydroxy-3-methylbutanoate",CC(C)(O)[C@@H](O)C(=O)[O-],9.0
2-Deoxy-D-ribose 5-phosphate,O=CC[C@H](O)[C@H](O)COP(=O)(O)O,13.0
2-Hydroxy-3-oxopropanoate,O=CC(O)C(=O)[O-],7.0
3-Oxohexadecanoyl-[acyl-carrier protein],*SC(=O)CC(=O)CCCCCCCCCCCCC,19.0
3-Octaprenyl-4-hydroxybenzoate,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)[O-])ccc1O,50.0
"(R)-2,3-Dihydroxy-3-methylpentanoate",CC[C@@](C)(O)[C@@H](O)C(=O)[O-],10.0
3-Oxotetradecanoyl-CoA,CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],64.0
"2,3-Dioxo-L-gulonate",O=C([O-])C(=O)C(=O)[C@H](O)[C@@H](O)CO,13.0
3-Phospho-D-glycerate,O=C(O)[C@H](O)COP(=O)(O)O,11.0
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,Nc1c(C(=O)N[C@@H](CC(=O)O)C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,30.0
3-Phosphohydroxypyruvate,O=C([O-])C(=O)COP(=O)([O-])[O-],11.0
5-O-(1-Carboxyvinyl)-3-phosphoshikimate,C=C(O[C@@H]1CC(C(=O)[O-])=C[C@@H](OP(=O)([O-])[O-])[C@H]1O)C(=O)[O-],21.0
"2,5-diketo-D-gluconate",O=C(O)C(=O)[C@@H](O)[C@H](O)C(=O)CO,13.0
2-Isopropylmaleate,CC(C)/C(=C/C(=O)O)C(=O)O,11.0
3-Sulfino-L-alanine,[NH3+][C@@H](CS(=O)[O-])C(=O)[O-],9.0
"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",Nc1nc(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(N)c(=O)[nH]1,23.0
3  UMP C9H11N2O9P,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,21.0
2-keto-4-methylthiobutyrate,CSCCC(=O)C(=O)[O-],9.0
"LL-2,6-Diaminoheptanedioate",N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O,13.0
2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(N)n1,18.0
4-Aminobutanoate,NCCCC(=O)O,7.0
Cis-2-Methylaconitate,C/C(C(=O)[O-])=C(\CC(=O)[O-])C(=O)[O-],13.0
2-Methylcitrate,C[C@H](C(=O)O)[C@](O)(CC(=O)O)C(=O)O,14.0
2-C-methyl-D-erythritol 4-phosphate,C[C@](O)(CO)[C@H](O)COP(=O)([O-])[O-],13.0
5-Methylthio-5-deoxy-D-ribulose 1-phosphate,CSC[C@@H](O)[C@@H](O)C(=O)COP(=O)([O-])[O-],15.0
4-Aminobutanal,[NH3+]CCCC=O,6.0
4-Aminobenzoate,Nc1ccc(C(=O)O)cc1,10.0
4-amino-4-deoxychorismate,C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1N)C(=O)[O-],16.0
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",C[C@@]1(CO)OP(=O)([O-])OP(=O)([O-])OC[C@H]1O,16.0
2-Oxobutanoate,CCC(=O)C(=O)[O-],7.0
4-Amino-5-hydroxymethyl-2-methylpyrimidine,Cc1ncc(CO)c(N)n1,10.0
5-Methylthioadenosine,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,20.0
5-Methyltetrahydrofolate,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,33.0
2-Octaprenyl-6-hydroxyphenol,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O,48.0
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C[C@](O)(CO)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,33.0
4-Hydroxy-2-oxopentanoate,CC(O)CC(=O)C(=O)[O-],9.0
5-Methylthio-D-ribose,CSC[C@@H](O)[C@@H](O)[C@@H](O)C=O,11.0
"2-Octaprenyl-6-methoxy-1,4-benzoquinol",COc1cc(O)cc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,50.0
"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",Cc1cc2ncn([C@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2cc1C,24.0
"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol",COc1c(O)c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,52.0
6-hydroxymethyl dihydropterin,Nc1nc(O)c2c(n1)NCC(CO)=N2,14.0
"2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol",COc1cc(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,51.0
4-Hydroxy-benzyl alcohol,OCc1ccc(O)cc1,9.0
6-hydroxymethyl-dihydropterin pyrophosphate,Nc1nc(O)c2c(n1)NCC(COP(=O)(O)OP(=O)(O)O)=N2,22.0
4-Hydroxybenzoate,O=C(O)c1ccc(O)cc1,10.0
2-Octaprenyl-6-methoxyphenol,COc1cccc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,49.0
6-Phospho-D-gluconate,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,17.0
2-Octaprenylphenol,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O,47.0
2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C[C@@](CO)(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,37.0
D-Glycerate 2-phosphate,O=C([O-])[C@@H](CO)OP(=O)([O-])[O-],11.0
4-Hydroxyphenylacetaldehyde,O=CCc1ccc(O)cc1,10.0
"6-phospho-D-glucono-1,5-lactone",O=C1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O,16.0
4-Hydroxy-L-threonine,[NH3+][C@H](C(=O)[O-])[C@H](O)CO,9.0
2-Phosphoglycolate,O=C(O)COP(=O)(O)O,9.0
8-Amino-7-oxononanoate,CC([NH3+])C(=O)CCCCCC(=O)[O-],13.0
"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate",O=C(O)CCC(=O)C1=CC=C[C@@H](O)[C@@H]1C(=O)O,17.0
4-Methyl-5-(2-hydroxyethyl)-thiazole,Cc1ncsc1CCO,9.0
4-Methyl-2-oxopentanoate,CC(C)CC(=O)C(=O)O,9.0
Acyl carrier protein,*S,1.0
4-Methyl-5-(2-phosphoethyl)-thiazole,Cc1ncsc1CCOP(=O)([O-])[O-],13.0
4-Phospho-L-aspartate,N[C@@H](CC(=O)OP(=O)([O-])[O-])C(=O)[O-],13.0
4-Phospho-D-erythronate,O=C([O-])[C@H](O)[C@H](O)COP(=O)([O-])[O-],13.0
D-4'-Phosphopantothenate,CC(C)(COP(=O)([O-])O)[C@@H](O)C(=O)NCCC(=O)[O-],19.0
2'-(5''-triphosphoribosyl)-3'-dephospho-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O[C@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)[C@@H]1O)[C@@H](O)C(=O)NCCC(=O)NCCS,65.0
"3,4-Dihydroxyphenylacetaldehyde",O=CCc1ccc(O)c(O)c1,11.0
N-((R)-4-Phosphopantothenoyl)-L-cysteine,CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(=O)O,25.0
4-(1-D-Ribitylamino)-5-aminouracil,Nc1c(NC[C@H](O)[C@H](O)[C@H](O)CO)[nH]c(=O)[nH]c1=O,19.0
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,Nc1c(C(=O)[O-])[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,22.0
5-Amino-4-oxopentanoate,[NH3+]CC(=O)CCC(=O)[O-],9.0
5-Amino-6-(5'-phosphoribitylamino)uracil,Nc1c(NC[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])[nH]c(=O)[nH]c1=O,23.0
3-(4-Hydroxyphenyl)pyruvate,O=C([O-])C(=O)Cc1ccc(O)cc1,13.0
3  AMP C10H12N5O7P,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]1O,23.0
5-Amino-6-(5'-phosphoribosylamino)uracil,Nc1c(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)[nH]c(=O)[nH]c1=O,23.0
L-alanine-D-glutamate,C[C@H](N)C(=O)N[C@H](CCC(=O)O)C(=O)O,15.0
5-phosphoribosyl-5-carboxyaminoimidazole,O=C(O)Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,22.0
3-Carboxy-2-hydroxy-4-methylpentanoate,CC(C)[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-],12.0
3-Carboxy-3-hydroxy-4-methylpentanoate,CC(C)[C@@](O)(CC(=O)O)C(=O)O,12.0
L-alanine-L-glutamate,C[C@H]([NH3+])C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],15.0
3-Carboxy-4-methyl-2-oxopentanoate,CC(C)[C@H](C(=O)[O-])C(=O)C(=O)[O-],12.0
5-Dehydro-D-gluconate,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,13.0
N1-Acetylspermidine,CC(=O)NCCC[NH2+]CCCC[NH3+],13.0
N-Methyltryptophan,Cc1[nH]c2ccccc2c1C[C@H](N)C(=O)O,16.0
S-Formylglutathione,N[C@@H](CCC(=O)N[C@@H](CSC=O)C(=O)NCC(=O)O)C(=O)O,22.0
5-Dehydro-4-deoxy-D-glucarate,O=C([O-])C(=O)C[C@H](O)[C@@H](O)C(=O)[O-].[H+],13.0
Aminoacetaldehyde,[NH3+]CC=O,4.0
5'-deoxyribose,C[C@@H](O)[C@@H](O)[C@@H](O)C=O,9.0
Acetoacetyl-CoA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,54.0
5-Methylthio-5-deoxy-D-ribose 1-phosphate,CSC[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O,15.0
3  CMP C9H12N3O8P,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)n1,21.0
Aminoacetone,CC(=O)C[NH3+],5.0
Acetyl-ACP,*SC(C)=O,4.0
3-Dehydro-L-gulonate,O=C(O)[C@@H](O)C(=O)[C@H](O)[C@@H](O)CO,13.0
Silver,[Ag+],1.0
Acetate,CC(=O)O,4.0
Adenosine-GDP-cobinamide,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)(O)OP(=O)(O)OC[C@H]6O[C@@H](n8cnc9c(=O)[nH]c(N)nc98)[C@H](O)[C@@H]6O)[C@]6(C)[N+](=C1[C@@H](CCC(N)=O)[C@]6(C)CC(N)=O)[Co-2]753C[C@H]1O[C@@H](n3cnc5c(N)ncnc53)[C@H](O)[C@@H]1O)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,113.0
Agmatine,N=C(N)NCCCCN,9.0
Acetoacetate,C=C(O)CC(=O)O,7.0
L-Aspartate,N[C@@H](CC(=O)O)C(=O)O,9.0
S-Adenosyl-L-homocysteine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,26.0
"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CN2,30.0
L-Aspartate 4-semialdehyde,N[C@@H](CC=O)C(=O)O,8.0
5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1N,22.0
Acetaldehyde,CC=O,3.0
5-amino-1-(5-phospho-D-ribosyl)imidazole,Nc1cncn1C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,19.0
L-Allo-threonine,C[C@H](O)[C@H]([NH3+])C(=O)[O-],8.0
2-Oxoglutarate,O=C([O-])CCC(=O)C(=O)[O-],10.0
ATP C10H12N5O13P3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,31.0
N-Acetylanthranilate,CC(=O)Nc1ccccc1C(=O)[O-],13.0
Crotonoyl-CoA,C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,53.0
Acetyl-CoA,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],51.0
Beta-Alanine,NCCC(=O)[O-],6.0
Gamma-butyrobetainyl-CoA,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC[N+](C)(C)C,57.0
Acetol cytosol,CC(=O)CO,5.0
Betaine aldehyde,C[N+](C)(C)CC=O,7.0
N-Acetyl-L-glutamyl 5-phosphate,CC(=O)N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O,17.0
D-Alanine,C[C@@H]([NH3+])C(=O)[O-],6.0
Butanal C4H8O,CCCC=O,5.0
N-Acetyl-L-glutamate 5-semialdehyde,CC(=O)N[C@@H](CCC=O)C(=O)O,12.0
Butanoyl-CoA,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],53.0
N-Acetyl-D-galactosamine 1-phosphate,CC(=O)N[C@H]1C(OP(=O)(O)O)O[C@H](CO)[C@H](O)[C@@H]1O,19.0
L-Alanine,CC([NH3+])C(=O)O,6.0
Biotin,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,16.0
D-biotin d-sulfoxide,O=C([O-])CCCC[C@H]1[C@H]2NC(=O)N[C@H]2CS1=O,17.0
N-Acetyl-D-galactosamine,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O,15.0
