,medium,description,bigg,name,vmh,modelseed,flux
78,TSB[-O2],Tryptic soy broth anaerobic,trp__L,L-Tryptophan,trp_L,cpd00065,1.0025954946
79,TSB[-O2],Tryptic soy broth anaerobic,tyr__L,L-Tyrosine,tyr_L,cpd00069,4.6642935982
80,TSB[-O2],Tryptic soy broth anaerobic,val__L,L-Valine,val_L,cpd00156,9.2303159693
81,TSB[-O2],Tryptic soy broth anaerobic,ca2,Ca2+,ca2,cpd00063,0.2921802485
82,TSB[-O2],Tryptic soy broth anaerobic,pi,Phosphate,pi,cpd00009,1.6543927961
83,TSB[-O2],Tryptic soy broth anaerobic,na1,Na+,na1,cpd00971,0.76558354
84,TSB[-O2],Tryptic soy broth anaerobic,k,K+,k,cpd00205,1.4223233925
85,TSB[-O2],Tryptic soy broth anaerobic,mg2,Mg,mg2,cpd00254,0.3457624769
86,TSB[-O2],Tryptic soy broth anaerobic,fe2,Fe2+,fe2,cpd10515,0.844607808
87,TSB[-O2],Tryptic soy broth anaerobic,fe3,fe3,fe3,cpd10516,0.844607808
88,TSB[-O2],Tryptic soy broth anaerobic,cu2,Cu2+,cu2,cpd00058,0.7872879489
89,TSB[-O2],Tryptic soy broth anaerobic,zn2,Zn2+,zn2,cpd00034,0.232987152
90,TSB[-O2],Tryptic soy broth anaerobic,mn2,Mn2+,mn2,cpd00030,0.13753868
91,TSB[-O2],Tryptic soy broth anaerobic,fol,Folate,fol,cpd00393,0.2564114182
92,TSB[-O2],Tryptic soy broth anaerobic,thm,Thiamine,thm,cpd00305,0.9881288864
93,TSB[-O2],Tryptic soy broth anaerobic,ribflv,Riboflavin,ribflv,cpd00220,0.6934665356
94,TSB[-O2],Tryptic soy broth anaerobic,nac,Niacin,nac,cpd00218,0.3955018869
95,TSB[-O2],Tryptic soy broth anaerobic,pant__R,PAN,pant_R,cpd00644,0.1085112206
96,TSB[-O2],Tryptic soy broth anaerobic,pydx,Pyridoxal,pydx,cpd00215,0.457631645
97,TSB[-O2],Tryptic soy broth anaerobic,chol,Choline,chol,cpd00098,0.3337787557
98,TSB[-O2],Tryptic soy broth anaerobic,ascb__L,L-Ascorbate,ascb_L,cpd00059,0.1022030434
99,TSB[-O2],Tryptic soy broth anaerobic,gtocophe,Gamma-Tocopherol,gtocophe,cpd01631,0.6119804166
100,TSB[-O2],Tryptic soy broth anaerobic,phllqne,Vitamin K1,phllqne,cpd01401,0.3128466829
101,TSB[-O2],Tryptic soy broth anaerobic,cl,Cl-,cl,cpd00099,100.0
102,TSB[-O2],Tryptic soy broth anaerobic,h,H+,h,cpd00067,100.0
103,TSB[-O2],Tryptic soy broth anaerobic,cobalt2,Co2+,cobalt2,cpd00149,100.0
104,TSB[-O2],Tryptic soy broth anaerobic,pheme,Heme,pheme,cpd00028,0.1
105,TSB[-O2],Tryptic soy broth anaerobic,so4,Sulfate,so4,cpd00048,100.0
106,FT,Fermentation test medium,h2o,H2O,h2o,cpd00001,100.0
107,FT,Fermentation test medium,pi,Phosphate,pi,cpd00009,100.0
108,FT,Fermentation test medium,co2,CO2,co2,cpd00011,0.1
109,FT,Fermentation test medium,nh4,NH3,nh4,cpd00013,100.0
110,FT,Fermentation test medium,amp,AMP,amp,cpd00018,0.1
111,FT,Fermentation test medium,glu__L,L-Glutamate,glu_L,cpd00023,0.1
112,FT,Fermentation test medium,glc__D,D-Glucose,glc_D,cpd00027,3.0
113,FT,Fermentation test medium,pheme,Heme,pheme,cpd00028,0.1
114,FT,Fermentation test medium,ac,acetate,ac,cpd00029,3.0
115,FT,Fermentation test medium,mn2,Mn2+,mn2,cpd00030,100.0
116,FT,Fermentation test medium,gly,Glycine,gly,cpd00033,0.1
117,FT,Fermentation test medium,zn2,Zn2+,zn2,cpd00034,100.0
118,FT,Fermentation test medium,ala__L,L-Alanine,ala_L,cpd00035,0.5
119,FT,Fermentation test medium,lys__L,L-Lysine,lys_L,cpd00039,0.1
120,FT,Fermentation test medium,asp__L,L-Aspartate,asp_L,cpd00041,0.1
121,FT,Fermentation test medium,cmp,CMP,cmp,cpd00046,0.1
122,FT,Fermentation test medium,so4,Sulfate,so4,cpd00048,1.0
123,FT,Fermentation test medium,arg__L,L-Arginine,arg_L,cpd00051,0.1
124,FT,Fermentation test medium,ser__L,L-Serine,ser_L,cpd00054,0.1
125,FT,Fermentation test medium,cu2,Cu2+,cu2,cpd00058,100.0
126,FT,Fermentation test medium,met__L,L-Methionine,met_L,cpd00060,0.1
127,FT,Fermentation test medium,ca2,Ca2+,ca2,cpd00063,100.0
128,FT,Fermentation test medium,trp__L,L-Tryptophan,trp_L,cpd00065,0.1
129,FT,Fermentation test medium,phe__L,L-Phenylalanine,phe_L,cpd00066,0.1
130,FT,Fermentation test medium,h,H+,h,cpd00067,0.1
131,FT,Fermentation test medium,tyr__L,L-Tyrosine,tyr_L,cpd00069,0.1
132,FT,Fermentation test medium,cys__L,L-Cysteine,cys_L,cpd00084,0.1
133,FT,Fermentation test medium,ump,UMP,ump,cpd00091,0.1
134,FT,Fermentation test medium,ura,Uracil,ura,cpd00092,0.1
135,FT,Fermentation test medium,cl,Cl-,cl,cpd00099,100.0
136,FT,Fermentation test medium,leu__L,L-Leucine,leu_L,cpd00107,0.1
137,FT,Fermentation test medium,his__L,L-Histidine,his_L,cpd00119,0.1
138,FT,Fermentation test medium,gmp,GMP,gmp,cpd00126,0.1
139,FT,Fermentation test medium,pro__L,L-Proline,pro_L,cpd00129,0.1
140,FT,Fermentation test medium,ppa,propionate,ppa,cpd00141,0.1
141,FT,Fermentation test medium,cobalt2,Co2+,cobalt2,cpd00149,100.0
142,FT,Fermentation test medium,val__L,L-Valine,val_L,cpd00156,0.1
143,FT,Fermentation test medium,lac__L,L-lactate,lac_L,cpd00159,1.5
144,FT,Fermentation test medium,thr__L,L-Threonine,thr_L,cpd00161,0.1
145,FT,Fermentation test medium,adn,Adenosine,adn,cpd00182,0.1
146,FT,Fermentation test medium,thymd,Thymidine,thymd,cpd00184,0.1
147,FT,Fermentation test medium,k,K+,k,cpd00205,100.0
148,FT,Fermentation test medium,lcts,LACT,lcts,cpd00208,1.5
149,FT,Fermentation test medium,but,butyrate,but,cpd00211,0.1
150,FT,Fermentation test medium,pydx,Pyridoxal,pydx,cpd00215,0.1
151,FT,Fermentation test medium,nac,Niacin,nac,cpd00218,0.1
152,FT,Fermentation test medium,ribflv,Riboflavin,ribflv,cpd00220,0.1
153,FT,Fermentation test medium,lac__D,D-lactate,lac_D,cpd00221,1.5
154,FT,Fermentation test medium,hxan,HYXN,hxan,cpd00226,0.1
155,FT,Fermentation test medium,h2s,H2S,h2s,cpd00239,0.1
156,FT,Fermentation test medium,ins,Inosine,ins,cpd00246,0.1
157,FT,Fermentation test medium,uri,Uridine,uri,cpd00249,0.1
158,FT,Fermentation test medium,mg2,Mg,mg2,cpd00254,100.0
159,FT,Fermentation test medium,thm,Thiamine,thm,cpd00305,0.1
160,FT,Fermentation test medium,gsn,Guanosine,gsn,cpd00311,0.1
161,FT,Fermentation test medium,ile__L,L-Isoleucine,ile_L,cpd00322,0.1
162,FT,Fermentation test medium,etoh,ethanol,etoh,cpd00363,0.1
163,FT,Fermentation test medium,fol,Folate,fol,cpd00393,0.1
164,FT,Fermentation test medium,dad_2,Deoxyadenosine,dad_2,cpd00438,0.1
165,FT,Fermentation test medium,hg2,Hg2+,hg2,cpd00531,100.0
166,FT,Fermentation test medium,lipoate,Lipoate,lipoate,cpd00541,0.1
167,FT,Fermentation test medium,pant__R,PAN,pant_R,cpd00644,0.1
168,FT,Fermentation test medium,dcyt,Deoxycytidine,dcyt,cpd00654,0.1
169,FT,Fermentation test medium,na1,Na+,na1,cpd00971,100.0
170,FT,Fermentation test medium,cd2,Cd2+,cd2,cpd01012,100.0
171,FT,Fermentation test medium,aso4,Arsenate,aso4,cpd01048,100.0
172,FT,Fermentation test medium,cbl1,Vitamin B12,cbl1,cpd03424,0.1
173,FT,Fermentation test medium,fe2,Fe2+,fe2,cpd10515,100.0
174,FT,Fermentation test medium,fe3,fe3,fe3,cpd10516,0.5
175,FT,Fermentation test medium,cro4,chromate,cro4,cpd11595,100.0
176,FT,Fermentation test medium,mobd,Molybdate,mobd,cpd11574,0.01
177,FT,Fermentation test medium,sheme,Siroheme,sheme,cpd00557,0.01
178,AGORA_WD,Standard constraints for western diet in AGORA,12dgr180,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",12dgr180,cpd15311,1.0
179,AGORA_WD,Standard constraints for western diet in AGORA,26dap__M,"meso-2,6-Diaminoheptanedioate",26dap_M,cpd00516,1.0
180,AGORA_WD,Standard constraints for western diet in AGORA,2dmmq8,2-Demethylmenaquinone 8,2dmmq8,cpd15352,1.0
181,AGORA_WD,Standard constraints for western diet in AGORA,2obut,2-Oxobutanoate,2obut,cpd00094,1.0
182,AGORA_WD,Standard constraints for western diet in AGORA,3mop,3-methyl-2-oxopentanoate,3mop,cpd00508,1.0
183,AGORA_WD,Standard constraints for western diet in AGORA,4abz,4 Aminobenzoate,4abz,cpd00443,1.0
184,AGORA_WD,Standard constraints for western diet in AGORA,4hbz,4-Hydroxybenzoate,4hbz,cpd00136,1.0
185,AGORA_WD,Standard constraints for western diet in AGORA,ac,acetate,ac,cpd00029,1.0
186,AGORA_WD,Standard constraints for western diet in AGORA,acgam,N-Acetyl-D-glucosamine,acgam,cpd00122,1.0
187,AGORA_WD,Standard constraints for western diet in AGORA,acmana,N-acetyl-D-mannosamine,acmana,cpd00492,1.0
188,AGORA_WD,Standard constraints for western diet in AGORA,acnam,N-Acetylneuraminate,acnam,cpd00232,1.0
189,AGORA_WD,Standard constraints for western diet in AGORA,ade,Adenine,ade,cpd00128,1.0
190,AGORA_WD,Standard constraints for western diet in AGORA,adn,Adenosine,adn,cpd00182,1.0
191,AGORA_WD,Standard constraints for western diet in AGORA,adocbl,Adenosylcobalamin,adpcbl,cpd00166,1.0
192,AGORA_WD,Standard constraints for western diet in AGORA,ala__D,D-Alanine,ala_D,cpd00117,1.0
193,AGORA_WD,Standard constraints for western diet in AGORA,ala__L,L-Alanine,ala_L,cpd00035,1.0
194,AGORA_WD,Standard constraints for western diet in AGORA,amet,S-Adenosyl-L-methionine,amet,cpd00017,1.0
195,AGORA_WD,Standard constraints for western diet in AGORA,amp,AMP,amp,cpd00018,1.0
196,AGORA_WD,Standard constraints for western diet in AGORA,,Amylopectin (900 glucose units),amylopect900,cpd00265,1.56731e-05
197,AGORA_WD,Standard constraints for western diet in AGORA,amylose300,Amylose,amylose300,cpd11735,4.70194e-05
198,AGORA_WD,Standard constraints for western diet in AGORA,arab__D,D-Arabinose,arab_D,cpd00185,1.0
199,AGORA_WD,Standard constraints for western diet in AGORA,arab__L,L-Arabinose,arab_L,cpd19109,0.178783
200,AGORA_WD,Standard constraints for western diet in AGORA,arabinan,Arabinan,arabinan101,cpd15928,0.000166277
201,AGORA_WD,Standard constraints for western diet in AGORA,,Larch arabinogalactan,arabinogal,cpd11699,2.19148e-05
202,AGORA_WD,Standard constraints for western diet in AGORA,,Arabinoxylan,arabinoxyl,cpd22387,0.0003066486
203,AGORA_WD,Standard constraints for western diet in AGORA,arg__L,L-Arginine,arg_L,cpd00051,0.15
204,AGORA_WD,Standard constraints for western diet in AGORA,asn__L,L-asparagine,asn_L,cpd00132,0.225
205,AGORA_WD,Standard constraints for western diet in AGORA,asp__L,L-Aspartate,asp_L,cpd00041,0.225
206,AGORA_WD,Standard constraints for western diet in AGORA,bglc,beta glucans,bglc,cpd22448,7.05e-08
207,AGORA_WD,Standard constraints for western diet in AGORA,btn,Biotin,btn,cpd00104,1.0
208,AGORA_WD,Standard constraints for western diet in AGORA,ca2,Calcium,ca2,cpd00063,1.0
209,AGORA_WD,Standard constraints for western diet in AGORA,cbl1,Cob(I)alamin,cbl1,cpd00635,1.0
210,AGORA_WD,Standard constraints for western diet in AGORA,cellb,Cellobiose,cellb,cpd03845,0.074493
211,AGORA_WD,Standard constraints for western diet in AGORA,cell500,Cellulose,cellul,,2.82117e-05
212,AGORA_WD,Standard constraints for western diet in AGORA,cgly,Cys-Gly,cgly,cpd01017,1.0
213,AGORA_WD,Standard constraints for western diet in AGORA,chol,Choline,chol,cpd00098,1.0
214,AGORA_WD,Standard constraints for western diet in AGORA,chor,Chorismate,chor,cpd00216,1.0
215,AGORA_WD,Standard constraints for western diet in AGORA,chsterol,cholesterol,chsterol,cpd00160,0.004958
216,AGORA_WD,Standard constraints for western diet in AGORA,cit,Citrate,cit,cpd00137,1.0
217,AGORA_WD,Standard constraints for western diet in AGORA,cl,Chloride,cl,cpd00099,1.0
218,AGORA_WD,Standard constraints for western diet in AGORA,cobalt2,Co2+,cobalt2,cpd00149,1.0
219,AGORA_WD,Standard constraints for western diet in AGORA,csn,Cytosine,csn,cpd00307,1.0
220,AGORA_WD,Standard constraints for western diet in AGORA,cu2,Cu2+,cu2,cpd00058,1.0
221,AGORA_WD,Standard constraints for western diet in AGORA,cys__L,L-cysteine,cys_L,cpd00084,1.0
222,AGORA_WD,Standard constraints for western diet in AGORA,cytd,Cytidine,cytd,cpd00367,1.0
223,AGORA_WD,Standard constraints for western diet in AGORA,dad_2,2-deoxyadenosine,dad_2,cpd00438,1.0
224,AGORA_WD,Standard constraints for western diet in AGORA,dcyt,Deoxycytidine,dcyt,cpd00654,1.0
225,AGORA_WD,Standard constraints for western diet in AGORA,ddca,laurate,ddca,cpd01741,1.0
226,AGORA_WD,Standard constraints for western diet in AGORA,,"Dextran 40, (1,6-alpha-D-Glucan)",dextran40,cpd11658,0.0001763229
227,AGORA_WD,Standard constraints for western diet in AGORA,dgsn,Deoxyguanosine,dgsn,cpd00277,1.0
228,AGORA_WD,Standard constraints for western diet in AGORA,drib,Deoxyribose,drib,cpd01242,0.178783
229,AGORA_WD,Standard constraints for western diet in AGORA,fald,formaldehyde,fald,cpd00055,1.0
230,AGORA_WD,Standard constraints for western diet in AGORA,fe2,Fe2+,fe2,cpd10515,1.0
231,AGORA_WD,Standard constraints for western diet in AGORA,fe3,Fe3+,fe3,cpd10516,1.0
232,AGORA_WD,Standard constraints for western diet in AGORA,fol,Folate,fol,cpd00393,1.0
233,AGORA_WD,Standard constraints for western diet in AGORA,for,Formate,for,cpd00047,1.0
234,AGORA_WD,Standard constraints for western diet in AGORA,fru,D-Fructose,fru,cpd00082,0.148986
235,AGORA_WD,Standard constraints for western diet in AGORA,fuc__L,L-Fucose,fuc_L,cpd00751,0.148986
236,AGORA_WD,Standard constraints for western diet in AGORA,fum,fumarate,fum,cpd00106,1.0
237,AGORA_WD,Standard constraints for western diet in AGORA,gal,D-Galactose,gal,cpd00108,0.148986
238,AGORA_WD,Standard constraints for western diet in AGORA,,Galactomannan,galmannan,cpd00656,1.41058e-05
239,AGORA_WD,Standard constraints for western diet in AGORA,gam,D-Glucosamine,gam,cpd00276,1.0
240,AGORA_WD,Standard constraints for western diet in AGORA,glc__D,D-Glucose,glc_D,cpd00027,0.148986
241,AGORA_WD,Standard constraints for western diet in AGORA,,Glucomannan,glcmannan,cpd11955,3.28807e-05
242,AGORA_WD,Standard constraints for western diet in AGORA,glcn,D-Gluconate,glcn,cpd00222,0.148986
243,AGORA_WD,Standard constraints for western diet in AGORA,gln__L,L-glutamine,gln_L,cpd00053,0.18
244,AGORA_WD,Standard constraints for western diet in AGORA,glu__L,L-Glutamate,glu_L,cpd00023,0.18
245,AGORA_WD,Standard constraints for western diet in AGORA,gly,Glycine,gly,cpd00033,0.45
246,AGORA_WD,Standard constraints for western diet in AGORA,glyc,Glycerol,glyc,cpd00100,1.799655
247,AGORA_WD,Standard constraints for western diet in AGORA,glyc3p,Ex glyc3p[e],glyc3p,cpd00080,1.0
248,AGORA_WD,Standard constraints for western diet in AGORA,gsn,Guanosine,gsn,cpd00311,1.0
249,AGORA_WD,Standard constraints for western diet in AGORA,gthox,Oxidized glutathione,gthox,cpd00111,1.0
250,AGORA_WD,Standard constraints for western diet in AGORA,gthrd,Reduced glutathione,gthrd,cpd00042,1.0
251,AGORA_WD,Standard constraints for western diet in AGORA,gua,Guanine,gua,cpd00207,1.0
252,AGORA_WD,Standard constraints for western diet in AGORA,h,proton,h,cpd00067,1.0
253,AGORA_WD,Standard constraints for western diet in AGORA,h2,H2,h2,cpd11640,1.0
254,AGORA_WD,Standard constraints for western diet in AGORA,h2o,H2O,h2o,cpd00001,10.0
255,AGORA_WD,Standard constraints for western diet in AGORA,h2s,Hydrogen sulfide,h2s,cpd00239,1.0
256,AGORA_WD,Standard constraints for western diet in AGORA,hdca,Hexadecanoate (n-C16:0),hdca,cpd00214,0.396371
257,AGORA_WD,Standard constraints for western diet in AGORA,his__L,L-histidine,his_L,cpd00119,0.15
258,AGORA_WD,Standard constraints for western diet in AGORA,,Homogalacturonan,homogal,,0.0001282349
259,AGORA_WD,Standard constraints for western diet in AGORA,hxan,Hypoxanthine,hxan,cpd00226,1.0
260,AGORA_WD,Standard constraints for western diet in AGORA,ile__L,L-Isoleucine,ile_L,cpd00322,0.15
261,AGORA_WD,Standard constraints for western diet in AGORA,indole,Indole,indole,cpd00359,1.0
262,AGORA_WD,Standard constraints for western diet in AGORA,,Inulin,inulin,cpd11602,0.0004701945
263,AGORA_WD,Standard constraints for western diet in AGORA,k,K+,k,cpd00205,1.0
264,AGORA_WD,Standard constraints for western diet in AGORA,,Kestopentaose,kestopt,,0.0028211667
265,AGORA_WD,Standard constraints for western diet in AGORA,lanost,Lanosterol,lanost,cpd01188,1.0
266,AGORA_WD,Standard constraints for western diet in AGORA,lcts,Lactose,lcts,cpd00208,0.074493
267,AGORA_WD,Standard constraints for western diet in AGORA,leu__L,L-Leucine,leu_L,cpd00107,0.15
268,AGORA_WD,Standard constraints for western diet in AGORA,,Levan,levan1000,cpd27401,1.41058e-05
269,AGORA_WD,Standard constraints for western diet in AGORA,,Lichenin,lichn,cpd27402,8.29755e-05
270,AGORA_WD,Standard constraints for western diet in AGORA,lmn30,Laminarin,lmn30,cpd11748,0.0004701945
271,AGORA_WD,Standard constraints for western diet in AGORA,lys__L,L-Lysine,lys_L,cpd00039,0.15
272,AGORA_WD,Standard constraints for western diet in AGORA,malt,Maltose,malt,cpd00179,0.074493
273,AGORA_WD,Standard constraints for western diet in AGORA,man,D-Mannose,man,cpd00138,0.148986
274,AGORA_WD,Standard constraints for western diet in AGORA,melib,Melibiose,melib,cpd03198,0.074493
275,AGORA_WD,Standard constraints for western diet in AGORA,meoh,methanol,meoh,cpd00116,10.0
276,AGORA_WD,Standard constraints for western diet in AGORA,met__L,L-Methionine,met_L,cpd00060,0.18
277,AGORA_WD,Standard constraints for western diet in AGORA,metsox_S__L,L-Methionine S-oxide,metsox_S_L,cpd01914,1.0
278,AGORA_WD,Standard constraints for western diet in AGORA,mg2,Mg,mg2,cpd00254,1.0
279,AGORA_WD,Standard constraints for western diet in AGORA,mn2,Mn2+,mn2,cpd00030,1.0
280,AGORA_WD,Standard constraints for western diet in AGORA,mnl,D-Mannitol,mnl,cpd00314,0.148986
281,AGORA_WD,Standard constraints for western diet in AGORA,mobd,Molybdate,mobd,cpd11574,1.0
282,AGORA_WD,Standard constraints for western diet in AGORA,mqn7,Menaquinone 7,mqn7,cpd11606,1.0
283,AGORA_WD,Standard constraints for western diet in AGORA,mqn8,Menaquinone 8,mqn8,cpd15500,1.0
284,AGORA_WD,Standard constraints for western diet in AGORA,na1,Sodium,na1,cpd00971,1.0
285,AGORA_WD,Standard constraints for western diet in AGORA,nac,Nicotinate,nac,cpd00218,1.0
286,AGORA_WD,Standard constraints for western diet in AGORA,ncam,Nicotinamide,ncam,cpd00133,1.0
287,AGORA_WD,Standard constraints for western diet in AGORA,nmn,NMN,nmn,cpd00355,1.0
288,AGORA_WD,Standard constraints for western diet in AGORA,no2,Nitrite,no2,cpd00075,1.0
289,AGORA_WD,Standard constraints for western diet in AGORA,ocdca,echange reaction for octadecanoate (n-C18:0),ocdca,cpd01080,0.169283
290,AGORA_WD,Standard constraints for western diet in AGORA,ocdcea,octadecenoate (n-C18:1),ocdcea,cpd00536,0.681445
291,AGORA_WD,Standard constraints for western diet in AGORA,orn,Ornithine,orn,cpd00064,1.0
292,AGORA_WD,Standard constraints for western diet in AGORA,oxa,Oxalate,oxa,cpd00180,0.446957
293,AGORA_WD,Standard constraints for western diet in AGORA,pect,pectins,pect,cpd11601,3.33866e-05
294,AGORA_WD,Standard constraints for western diet in AGORA,phe__L,L-phenylalanine,phe_L,cpd00066,1.0
295,AGORA_WD,Standard constraints for western diet in AGORA,pheme,heme,pheme,cpd00028,1.0
